Customer_ID,Age,Gender,Monthly_Charges,Tenure_Months,Internet_Service,Contract_Type,Support_Calls,Payment_Method,Churn
10033,59,Male,134.29,39,DSL,Two Year,9,Credit Card,No
10034,45,Female,51.64,37,Cable,Two Year,2,E-Wallet,No
10035,33,Male,92.45,8,DSL,One Year,1,Credit Card,Yes
10036,32,Female,25.07,52,DSL,One Year,8,E-Wallet,Yes
10037,64,Male,106.69,33,Fiber,One Year,0,Cash,No
10038,68,Male,61.99,42,Fiber,One Year,6,Credit Card,No
10039,61,Male,136.73,27,Fiber,Two Year,3,Credit Card,Yes
10040,69,Male,135.46,8,DSL,Month-to-Month,1,Bank Transfer,Yes
10041,20,Female,62.29,23,Fiber,One Year,1,E-Wallet,No
10042,54,Female,137.12,64,Fiber,One Year,7,Cash,Yes
10043,68,Male,149.5,20,Fiber,Two Year,6,Credit Card,No
10044,24,Female,127.3,16,Cable,One Year,6,E-Wallet,No
10045,38,Male,129.83,17,DSL,One Year,4,Cash,No
10046,26,Male,52.37,19,Fiber,Two Year,9,Credit Card,No
10047,56,Male,94.97,8,Cable,One Year,7,E-Wallet,No
10048,35,Male,28.74,38,Cable,One Year,1,Bank Transfer,No
10049,21,Female,32.34,38,Cable,Two Year,1,Credit Card,No
10050,42,Male,149.86,53,Fiber,Month-to-Month,4,E-Wallet,Yes
10051,31,Male,62.46,31,Cable,One Year,0,Cash,No
10052,67,Female,117.26,44,DSL,One Year,5,Cash,No
10053,26,Male,124.87,60,Cable,Month-to-Month,3,Bank Transfer,Yes
10054,43,Male,131.54,17,Cable,Two Year,5,Credit Card,No
10055,19,Male,149.69,39,Cable,Month-to-Month,6,Bank Transfer,Yes
10056,37,Female,51.39,42,Cable,One Year,2,E-Wallet,No
10057,45,Male,25.25,48,DSL,Month-to-Month,10,Cash,Yes
10058,64,Female,73.45,12,Fiber,Two Year,7,Bank Transfer,No
10059,24,Male,36.91,18,DSL,One Year,6,Credit Card,No
10060,61,Male,22.92,6,DSL,Two Year,0,E-Wallet,No
10061,25,Female,66.86,43,Fiber,Two Year,5,Credit Card,Yes
10062,64,Male,121.89,35,Cable,Month-to-Month,6,Bank Transfer,Yes
10063,52,Male,93.6,54,Fiber,Month-to-Month,10,Cash,Yes
10064,31,Female,60.66,62,Fiber,Two Year,3,Cash,No
10065,34,Female,105.06,69,DSL,Two Year,1,Bank Transfer,No
10066,53,Female,50.16,16,Fiber,One Year,9,Credit Card,No
10067,67,Female,21.87,8,Cable,Two Year,8,Credit Card,Yes
10068,57,Female,119.37,31,DSL,Two Year,6,Credit Card,Yes
10069,21,Male,101.09,10,Cable,Month-to-Month,0,Credit Card,Yes
10070,19,Female,119.1,56,DSL,Two Year,7,Cash,Yes
10071,23,Male,25.06,70,Cable,Two Year,2,Credit Card,No
10072,59,Male,128.83,20,Fiber,Month-to-Month,3,Bank Transfer,Yes
10073,21,Male,100.54,5,Fiber,One Year,4,Bank Transfer,Yes
10074,46,Female,93.24,23,Fiber,Month-to-Month,0,Bank Transfer,Yes
10075,35,Female,101.2,9,Cable,Month-to-Month,5,Bank Transfer,Yes
10076,43,Male,132.38,58,DSL,Two Year,9,Credit Card,No
10077,61,Female,96.3,59,DSL,Two Year,5,Cash,No
10078,51,Female,95.52,54,DSL,One Year,1,E-Wallet,Yes
10079,27,Female,148.79,46,Fiber,Two Year,10,Credit Card,Yes
10080,53,Female,118.37,22,Cable,One Year,9,E-Wallet,Yes
10081,31,Male,77.5,64,DSL,One Year,5,Cash,No
10082,48,Male,111.96,8,Cable,One Year,7,Credit Card,Yes
10083,65,Female,70.6,20,DSL,One Year,5,E-Wallet,No
10084,32,Male,49.75,51,Fiber,Two Year,3,Cash,No
10085,25,Female,97.59,39,Cable,Month-to-Month,3,E-Wallet,No
10086,31,Female,140.66,37,DSL,Month-to-Month,8,Bank Transfer,Yes
10087,40,Male,140.79,50,DSL,Two Year,5,Bank Transfer,No
10088,57,Male,64.45,34,DSL,Two Year,7,Cash,No
10089,38,Male,88.6,33,DSL,One Year,7,Cash,No
10090,33,Female,47.51,31,Fiber,Two Year,6,E-Wallet,No
10091,62,Male,149.43,54,DSL,Month-to-Month,2,Cash,Yes
10092,35,Female,147.55,44,DSL,Two Year,9,Bank Transfer,No
10093,64,Male,104.44,34,Fiber,Two Year,0,Bank Transfer,No
10094,41,Male,124.57,71,DSL,One Year,4,Credit Card,No
10095,43,Female,112.96,62,Cable,One Year,9,E-Wallet,No
10096,42,Female,97.11,23,Cable,One Year,9,Cash,No
10097,62,Female,26.94,46,DSL,One Year,1,Cash,No
10098,58,Female,79.12,56,Fiber,Month-to-Month,9,Cash,Yes
10099,46,Female,107.72,7,Fiber,Two Year,1,E-Wallet,Yes
10100,32,Female,108.08,61,Fiber,Two Year,6,Bank Transfer,Yes
10101,62,Female,68.51,3,DSL,One Year,10,Cash,No
10102,18,Female,142.42,38,DSL,Month-to-Month,2,Cash,No
10103,42,Male,41.76,34,Cable,Month-to-Month,7,Bank Transfer,No
10104,24,Female,85.05,44,Fiber,Two Year,8,Cash,Yes
10105,26,Female,109.81,30,DSL,One Year,7,Credit Card,Yes
10106,41,Male,110.63,17,DSL,Two Year,5,Bank Transfer,No
10107,18,Female,104.32,59,DSL,Two Year,4,Bank Transfer,No
10108,61,Male,55.79,10,Fiber,Month-to-Month,2,Bank Transfer,Yes
10109,25,Male,40.31,18,Fiber,Month-to-Month,2,Credit Card,No
10110,41,Female,102.67,45,Cable,Two Year,6,Bank Transfer,Yes
10111,28,Male,97.91,59,Fiber,One Year,4,E-Wallet,No
10112,68,Female,43.32,62,DSL,One Year,5,E-Wallet,No
10113,34,Male,111.67,59,Cable,Two Year,5,E-Wallet,No
10114,25,Male,79.17,49,Fiber,Two Year,8,Bank Transfer,No
10115,52,Male,106.81,63,Fiber,One Year,0,Bank Transfer,No
10116,52,Female,128.86,32,Fiber,One Year,7,Bank Transfer,No
10117,50,Female,42.06,10,Fiber,One Year,9,Credit Card,Yes
10118,22,Male,22.49,11,DSL,Two Year,4,E-Wallet,No
10119,59,Male,121.28,70,Fiber,Month-to-Month,5,Cash,Yes
10120,56,Female,99.26,62,DSL,One Year,5,Cash,No
10121,58,Female,110.95,47,DSL,One Year,0,Bank Transfer,No
10122,45,Male,128.96,34,DSL,One Year,2,Credit Card,No
10123,24,Male,124.37,17,Cable,Two Year,5,Bank Transfer,Yes
10124,26,Female,144.92,54,DSL,Month-to-Month,10,Cash,Yes
10125,25,Female,89.67,40,Fiber,Month-to-Month,10,E-Wallet,Yes
10126,29,Female,83.5,19,Cable,One Year,8,Cash,Yes
10127,51,Female,72.25,67,Fiber,Two Year,5,E-Wallet,No
10128,50,Female,39.98,53,DSL,Month-to-Month,5,E-Wallet,Yes
10129,65,Male,94.44,64,Fiber,Two Year,0,Credit Card,No
10130,40,Female,56.01,47,Cable,Month-to-Month,8,Cash,Yes
10131,41,Male,139.77,6,Cable,One Year,3,Bank Transfer,No
10132,54,Female,95.81,16,Fiber,Two Year,1,Credit Card,No
10133,52,Male,97.07,18,Fiber,One Year,0,E-Wallet,No
10134,61,Female,66.14,52,Fiber,Month-to-Month,2,Cash,No
10135,57,Female,26.76,48,Cable,Month-to-Month,2,Bank Transfer,No
10136,39,Male,24.13,43,DSL,One Year,4,Credit Card,No
10137,44,Male,75.03,39,Fiber,Month-to-Month,0,Bank Transfer,Yes
10138,52,Female,30.99,49,DSL,One Year,6,Cash,No
10139,18,Female,98.89,12,Cable,One Year,0,Bank Transfer,No
10140,52,Female,134.53,10,Fiber,One Year,3,Credit Card,No
10141,54,Female,134.78,71,Fiber,Month-to-Month,5,Bank Transfer,Yes
10142,64,Female,105.68,55,Cable,Two Year,0,Cash,No
10143,31,Male,47.46,1,Fiber,One Year,6,Credit Card,No
10144,20,Male,132.19,49,DSL,Two Year,9,E-Wallet,Yes
10145,18,Female,135.19,36,Cable,Month-to-Month,6,Credit Card,Yes
10146,22,Male,45.56,21,Cable,Month-to-Month,2,Cash,No
10147,43,Male,115.87,37,Fiber,Two Year,3,Bank Transfer,No
10148,31,Male,57.25,24,Cable,One Year,5,E-Wallet,No
10149,56,Female,124.34,55,Fiber,Month-to-Month,10,E-Wallet,Yes
10150,44,Male,149.64,25,Fiber,One Year,6,Bank Transfer,Yes
10151,26,Female,23.9,7,Cable,One Year,3,Cash,No
10152,32,Male,136.66,71,Fiber,Two Year,9,Credit Card,No
10153,32,Female,100.94,71,DSL,Month-to-Month,10,Cash,Yes
10154,43,Male,146.54,24,DSL,Two Year,8,E-Wallet,Yes
10155,59,Female,80.45,11,Fiber,Month-to-Month,8,Credit Card,Yes
10156,30,Female,130.16,12,DSL,Two Year,8,Credit Card,Yes
10157,68,Male,28.11,35,Fiber,Month-to-Month,9,Bank Transfer,Yes
10158,49,Female,63.59,63,DSL,Month-to-Month,5,Cash,Yes
10159,56,Female,28.71,68,Cable,Month-to-Month,1,Credit Card,No
10160,66,Female,146.79,57,Fiber,One Year,1,Bank Transfer,No
10161,69,Female,126.21,13,Fiber,One Year,10,Cash,No
10162,49,Female,130.83,23,Fiber,Two Year,3,E-Wallet,No
10163,21,Female,141.94,39,Fiber,Two Year,8,E-Wallet,Yes
10164,47,Female,31.06,12,Fiber,Month-to-Month,2,Cash,No
10165,54,Female,70.13,34,Fiber,Month-to-Month,5,Credit Card,No
10166,40,Male,29.23,71,Cable,One Year,1,Credit Card,No
10167,56,Male,47.4,31,Cable,One Year,0,E-Wallet,No
10168,62,Female,49.82,62,DSL,One Year,4,E-Wallet,No
10169,32,Female,80.98,13,Fiber,Two Year,7,Credit Card,Yes
10170,60,Male,54.91,31,DSL,One Year,9,Cash,Yes
10171,46,Male,33.13,2,DSL,Two Year,9,E-Wallet,No
10172,53,Male,41.77,15,Cable,One Year,1,Credit Card,No
10173,30,Female,39.15,57,DSL,One Year,9,Cash,No
10174,49,Male,146.5,34,Cable,Month-to-Month,8,Bank Transfer,Yes
10175,24,Female,118.71,68,DSL,Two Year,7,Cash,No
10176,68,Female,145.81,29,Fiber,One Year,2,Credit Card,No
10177,39,Male,77.17,66,DSL,Month-to-Month,0,Cash,No
10178,45,Female,56.19,16,Cable,Two Year,3,Credit Card,No
10179,19,Female,123.78,39,Cable,Two Year,7,E-Wallet,No
10180,59,Female,62.41,37,Cable,One Year,2,Bank Transfer,No
10181,62,Female,58.92,21,DSL,Two Year,9,E-Wallet,No
10182,23,Male,50.23,44,DSL,Month-to-Month,1,E-Wallet,Yes
10183,45,Male,36.86,19,Cable,Month-to-Month,6,Credit Card,Yes
10184,45,Female,53.34,71,Fiber,Two Year,3,Credit Card,No
10185,61,Female,66.19,8,Fiber,Month-to-Month,5,Credit Card,Yes
10186,61,Male,107.62,66,DSL,Two Year,4,Credit Card,No
10187,37,Female,28.13,41,DSL,Month-to-Month,1,E-Wallet,No
10188,47,Male,47.37,70,Cable,Two Year,9,Credit Card,No
10189,28,Female,125.17,61,DSL,Two Year,1,Credit Card,Yes
10190,45,Female,39.1,26,DSL,Two Year,8,E-Wallet,Yes
10191,42,Male,64.54,71,Cable,Month-to-Month,10,Bank Transfer,Yes
10192,56,Male,132.41,70,Cable,Two Year,9,Bank Transfer,No
10193,50,Male,40.14,29,DSL,Two Year,1,Cash,No
10194,18,Male,30.76,66,Fiber,One Year,7,E-Wallet,No
10195,44,Female,82.99,19,DSL,One Year,7,Credit Card,Yes
10196,69,Male,59.31,68,Fiber,Two Year,0,Cash,No
10197,30,Female,93.24,58,Fiber,One Year,0,Bank Transfer,No
10198,58,Male,124.49,70,Fiber,Two Year,3,Bank Transfer,No
10199,20,Male,37.83,57,Cable,One Year,1,E-Wallet,No
10200,56,Female,95.49,37,Cable,Month-to-Month,0,Credit Card,No
10201,23,Male,85.72,61,Cable,Month-to-Month,8,Credit Card,Yes
10202,25,Male,38.73,30,DSL,Two Year,2,Cash,No
10203,44,Male,101.12,71,Cable,Two Year,0,Bank Transfer,No
10204,26,Male,55.57,25,Cable,Month-to-Month,1,Cash,No
10205,54,Female,83.42,65,DSL,Month-to-Month,7,Cash,Yes
10206,50,Female,30.7,6,DSL,One Year,4,Cash,No
10207,68,Male,79.75,18,Fiber,Two Year,10,Credit Card,No
10208,59,Male,59.84,10,DSL,Month-to-Month,6,Bank Transfer,Yes
10209,61,Male,126.91,11,DSL,Month-to-Month,5,Cash,Yes
10210,41,Female,27.41,65,Cable,Two Year,0,Bank Transfer,No
10211,32,Female,74.42,65,Fiber,One Year,5,Bank Transfer,No
10212,49,Female,79.6,52,Fiber,One Year,10,Cash,No
10213,49,Female,114.25,67,DSL,One Year,6,Cash,Yes
10214,41,Male,94.66,31,Cable,One Year,3,E-Wallet,No
10215,58,Male,106.74,17,Cable,Month-to-Month,7,Credit Card,Yes
10216,69,Male,121.02,55,Cable,Two Year,7,Bank Transfer,No
10217,66,Female,132.09,36,Cable,Two Year,6,Cash,No
10218,66,Male,60.8,26,DSL,Month-to-Month,10,Cash,Yes
10219,69,Female,89.94,53,Cable,Month-to-Month,1,Bank Transfer,No
10220,29,Female,129.21,17,Fiber,Month-to-Month,5,Cash,Yes
10221,56,Male,148.63,25,Fiber,Two Year,5,E-Wallet,No
10222,19,Male,135.64,2,DSL,Two Year,6,Bank Transfer,Yes
10223,20,Male,68.29,5,Cable,Two Year,5,Cash,No
10224,66,Female,45.37,4,Cable,One Year,1,Bank Transfer,No
10225,54,Female,83.62,36,Cable,Month-to-Month,7,Cash,Yes
10226,66,Male,116.41,6,Cable,Month-to-Month,3,Cash,Yes
10227,34,Male,84.03,21,DSL,Month-to-Month,8,Credit Card,Yes
10228,66,Female,82.81,26,Cable,Two Year,7,Bank Transfer,No
10229,19,Male,128.97,55,DSL,Month-to-Month,2,Credit Card,No
10230,19,Female,66.98,39,Cable,Month-to-Month,2,Cash,Yes
10231,45,Female,131.77,33,Cable,One Year,7,Bank Transfer,Yes
10232,40,Male,72.88,14,Fiber,Two Year,1,Bank Transfer,No
10233,54,Male,62.67,56,DSL,Month-to-Month,8,E-Wallet,Yes
10234,49,Male,79.02,21,Fiber,Two Year,3,E-Wallet,No
10235,50,Male,119.12,46,DSL,Two Year,5,Cash,No
10236,18,Female,36.38,16,Cable,Two Year,2,Cash,No
10237,36,Female,45.53,16,Cable,One Year,2,Cash,No
10238,19,Female,143.69,29,DSL,Two Year,2,Cash,No
10239,61,Male,42.81,8,Fiber,Two Year,10,E-Wallet,Yes
10240,43,Female,93.8,3,DSL,Two Year,9,Bank Transfer,Yes
10241,49,Male,95.31,19,DSL,Month-to-Month,1,Credit Card,No
10242,23,Male,83.65,66,Cable,One Year,7,Bank Transfer,Yes
10243,49,Male,103.82,22,Fiber,Month-to-Month,8,Bank Transfer,Yes
10244,21,Male,49.88,46,DSL,One Year,7,E-Wallet,No
10245,28,Male,91.85,13,Fiber,One Year,9,Bank Transfer,No
10246,34,Male,68.38,33,Fiber,Two Year,2,Bank Transfer,No
10247,55,Female,106.02,5,DSL,Two Year,6,Cash,Yes
10248,41,Male,38.36,27,Fiber,Month-to-Month,10,Credit Card,Yes
10249,22,Female,94.21,24,Cable,One Year,9,Bank Transfer,No
10250,69,Female,44.09,67,Cable,Two Year,1,Bank Transfer,No
10251,51,Male,56.22,63,Cable,Two Year,3,Credit Card,No
10252,23,Male,48.43,48,Cable,Two Year,5,Cash,No
10253,39,Male,43.77,63,Fiber,Two Year,10,E-Wallet,No
10254,28,Female,127.34,12,Cable,Month-to-Month,4,E-Wallet,Yes
10255,65,Male,57.14,28,DSL,Month-to-Month,8,Bank Transfer,Yes
10256,33,Female,140.53,44,Cable,Two Year,9,Cash,No
10257,50,Male,146.09,43,DSL,Two Year,3,E-Wallet,No
10258,26,Male,94.26,17,DSL,Two Year,4,E-Wallet,No
10259,23,Female,38.59,40,Cable,Two Year,3,E-Wallet,No
10260,33,Female,68.69,49,Cable,Two Year,7,E-Wallet,No
10261,46,Male,123.71,57,Fiber,One Year,7,E-Wallet,Yes
10262,20,Female,67.76,64,DSL,One Year,2,Bank Transfer,No
10263,37,Female,31.31,57,Cable,One Year,0,E-Wallet,Yes
10264,53,Female,92.38,70,Fiber,One Year,5,Bank Transfer,No
10265,36,Female,129.87,43,Cable,Two Year,1,Credit Card,No
10266,43,Female,123.47,23,Cable,One Year,1,Credit Card,No
10267,20,Male,42.77,27,Cable,One Year,2,Cash,No
10268,36,Male,107.46,58,DSL,Month-to-Month,7,Bank Transfer,Yes
10269,37,Female,48.67,37,Cable,One Year,2,Cash,No
10270,49,Male,48.37,6,Fiber,One Year,6,Credit Card,Yes
10271,24,Male,133.63,65,Cable,Two Year,9,Credit Card,No
10272,69,Female,52.46,6,Cable,One Year,9,Credit Card,Yes
10273,58,Male,54.22,50,Fiber,One Year,8,Credit Card,Yes
10274,50,Female,20.08,22,Fiber,Two Year,7,E-Wallet,No
10275,57,Female,133.19,25,DSL,One Year,0,Credit Card,No
10276,56,Male,123.04,51,DSL,Two Year,6,E-Wallet,Yes
10277,35,Female,101.55,48,DSL,One Year,6,E-Wallet,Yes
10278,57,Female,117.53,70,DSL,Month-to-Month,7,Cash,Yes
10279,18,Female,39.77,65,Fiber,Month-to-Month,9,E-Wallet,Yes
10280,28,Female,79.58,60,Cable,One Year,4,Cash,No
10281,45,Female,65.66,46,Cable,Month-to-Month,9,E-Wallet,Yes
10282,42,Male,32.19,36,Cable,Two Year,8,E-Wallet,Yes
10283,67,Male,83.2,58,DSL,One Year,8,Credit Card,No
10284,40,Female,139.7,38,Fiber,Two Year,7,Bank Transfer,No
10285,48,Female,25.21,11,Fiber,Month-to-Month,5,E-Wallet,No
10286,47,Male,57.89,12,Fiber,Two Year,5,Bank Transfer,No
10287,59,Female,46.98,42,Cable,Month-to-Month,0,Bank Transfer,No
10288,52,Male,50.96,39,DSL,Month-to-Month,5,Bank Transfer,Yes
10289,24,Female,138.1,71,Fiber,Month-to-Month,3,E-Wallet,Yes
10290,33,Female,80.85,11,DSL,Two Year,3,Bank Transfer,Yes
10291,43,Female,80.62,36,Fiber,Month-to-Month,1,E-Wallet,No
10292,65,Female,118.87,52,DSL,One Year,10,Credit Card,Yes
10293,69,Female,40.08,31,Fiber,Month-to-Month,3,E-Wallet,Yes
10294,66,Female,83.34,33,DSL,One Year,4,Cash,No
10295,19,Female,75.9,13,Fiber,One Year,4,Credit Card,No
10296,18,Male,97.6,18,Fiber,One Year,4,Bank Transfer,No
10297,65,Male,149.94,41,DSL,One Year,3,Bank Transfer,No
10298,29,Male,120.03,58,DSL,Two Year,0,Cash,No
10299,22,Female,71.72,56,Cable,One Year,9,Credit Card,No
10300,54,Female,127.58,24,DSL,Month-to-Month,7,Cash,Yes
10301,49,Female,42.19,31,Fiber,One Year,2,Bank Transfer,No
10302,26,Female,23.96,55,Fiber,Month-to-Month,1,E-Wallet,No
10303,58,Female,46.58,10,DSL,Two Year,8,Bank Transfer,Yes
10304,52,Female,64.25,60,Cable,One Year,6,Cash,No
10305,36,Female,86.38,2,DSL,Month-to-Month,8,E-Wallet,Yes
10306,65,Male,99.97,15,Fiber,Two Year,1,E-Wallet,No
10307,33,Female,138.38,3,Fiber,Two Year,8,Bank Transfer,No
10308,20,Male,86.28,43,Cable,Month-to-Month,9,E-Wallet,Yes
10309,37,Male,85.17,31,DSL,One Year,8,Credit Card,No
10310,41,Female,26.53,70,Fiber,Two Year,10,Bank Transfer,No
10311,50,Female,24.54,67,Fiber,Month-to-Month,8,Bank Transfer,Yes
10312,41,Male,91.65,56,Fiber,One Year,9,Credit Card,No
10313,69,Male,76.96,63,DSL,Two Year,9,Bank Transfer,No
10314,28,Female,129.09,15,DSL,Month-to-Month,3,Cash,No
10315,66,Female,40.89,10,Cable,Two Year,9,Cash,Yes
10316,25,Male,23.25,38,Fiber,Two Year,2,Bank Transfer,No
10317,53,Female,78.38,47,Fiber,Month-to-Month,5,Credit Card,No
10318,55,Female,50.87,57,Cable,Two Year,2,E-Wallet,No
10319,57,Female,26.45,50,Fiber,Month-to-Month,10,Credit Card,Yes
10320,37,Male,114.2,71,Cable,One Year,8,Cash,Yes
10321,52,Male,34.51,15,Cable,Month-to-Month,2,Bank Transfer,Yes
10322,65,Male,99.08,18,Fiber,One Year,1,Credit Card,No
10323,42,Female,56.54,2,DSL,Two Year,7,E-Wallet,No
10324,52,Female,42.55,43,DSL,Month-to-Month,5,E-Wallet,No
10325,42,Male,69.37,26,DSL,Month-to-Month,7,E-Wallet,Yes
10326,46,Male,124.19,71,DSL,Month-to-Month,6,E-Wallet,Yes
10327,35,Male,70.97,38,Fiber,Month-to-Month,2,Credit Card,No
10328,63,Female,117.6,42,Cable,One Year,7,E-Wallet,Yes
10329,35,Male,36.31,5,Cable,One Year,9,Cash,Yes
10330,19,Male,120.46,11,Fiber,Two Year,0,E-Wallet,Yes
10331,52,Female,50.8,65,DSL,Two Year,0,Cash,No
10332,33,Female,108.06,34,Cable,Two Year,9,Credit Card,Yes
10333,58,Female,93.55,1,Fiber,Two Year,7,Cash,No
10334,53,Male,140.79,2,Fiber,Month-to-Month,8,Credit Card,Yes
10335,50,Female,70.35,20,DSL,One Year,9,E-Wallet,No
10336,21,Female,28.6,61,Fiber,One Year,5,Bank Transfer,No
10337,50,Male,22.49,21,Cable,One Year,4,Cash,No
10338,31,Female,127.49,68,Cable,One Year,1,Cash,No
10339,38,Male,88.22,12,Fiber,Two Year,10,Bank Transfer,No
10340,65,Male,120.78,22,Cable,Month-to-Month,8,Credit Card,Yes
10341,37,Female,50.48,20,Fiber,One Year,5,Credit Card,No
10342,25,Female,64.86,1,Cable,Month-to-Month,7,E-Wallet,Yes
10343,24,Female,23.91,30,DSL,Month-to-Month,8,Cash,Yes
10344,20,Female,144.99,24,Cable,Month-to-Month,8,Credit Card,Yes
10345,34,Female,106.82,14,DSL,Month-to-Month,7,E-Wallet,Yes
10346,50,Female,141.32,36,DSL,One Year,9,Credit Card,Yes
10347,65,Male,54.51,69,Fiber,One Year,7,Bank Transfer,Yes
10348,29,Male,99.49,24,DSL,One Year,2,Bank Transfer,No
10349,68,Female,108.2,60,Cable,Two Year,2,Bank Transfer,No
10350,39,Male,61.28,55,Cable,One Year,1,E-Wallet,No
10351,39,Female,130.25,24,DSL,Two Year,0,Cash,No
10352,63,Male,143.13,24,Fiber,Two Year,3,Bank Transfer,No
10353,47,Male,135.03,54,DSL,Two Year,1,Bank Transfer,No
10354,55,Male,116.08,26,Cable,One Year,1,Credit Card,No
10355,55,Female,56.07,66,Cable,One Year,10,Bank Transfer,No
10356,62,Male,56.61,38,DSL,One Year,10,Cash,No
10357,68,Female,145.24,65,DSL,Two Year,4,E-Wallet,No
10358,25,Male,21.34,51,DSL,Two Year,3,Bank Transfer,No
10359,44,Male,113.09,35,Cable,Month-to-Month,0,E-Wallet,Yes
10360,44,Male,111.81,43,Cable,Two Year,8,E-Wallet,Yes
10361,51,Male,100.95,29,Cable,Two Year,3,Cash,No
10362,38,Male,148.71,37,Fiber,One Year,4,Credit Card,No
10363,47,Female,60.54,58,Cable,Month-to-Month,6,Credit Card,No
10364,50,Female,64.2,54,Cable,Month-to-Month,1,E-Wallet,No
10365,45,Male,30.26,39,Fiber,Month-to-Month,7,Bank Transfer,Yes
10366,64,Male,77.56,42,Fiber,One Year,10,E-Wallet,No
10367,50,Male,53.94,28,Fiber,Month-to-Month,1,Credit Card,Yes
10368,22,Male,64.64,29,Fiber,Month-to-Month,10,Bank Transfer,Yes
10369,65,Female,128.49,43,Fiber,One Year,9,Credit Card,No
10370,36,Male,141.61,3,Fiber,Month-to-Month,4,Cash,Yes
10371,21,Female,44.15,10,DSL,Two Year,1,Credit Card,No
10372,52,Male,68.43,59,DSL,Two Year,1,Bank Transfer,No
10373,66,Female,140.72,14,DSL,Two Year,3,Bank Transfer,No
10374,34,Male,28.04,47,DSL,Two Year,3,E-Wallet,No
10375,61,Male,32.01,42,Cable,Two Year,7,Bank Transfer,No
10376,45,Female,41.16,32,Fiber,Two Year,5,Cash,No
10377,47,Male,97.38,32,Cable,Two Year,9,Credit Card,Yes
10378,46,Male,39.56,42,Fiber,Two Year,7,E-Wallet,No
10379,63,Male,145.85,32,Fiber,Two Year,6,E-Wallet,No
10380,23,Female,78.07,26,Cable,One Year,9,Bank Transfer,No
10381,52,Male,85.2,1,DSL,One Year,3,Cash,No
10382,58,Male,52.07,56,Cable,Two Year,1,E-Wallet,No
10383,54,Female,81.22,2,Cable,One Year,8,Cash,Yes
10384,41,Female,106.05,30,Fiber,One Year,1,Cash,No
10385,46,Female,117.65,71,Fiber,Two Year,0,Credit Card,No
10386,66,Male,118.0,52,Fiber,Two Year,7,Credit Card,No
10387,63,Male,95.13,9,DSL,One Year,9,Credit Card,No
10388,48,Male,137.57,22,Cable,Two Year,8,Cash,No
10389,52,Female,126.26,34,Cable,Two Year,0,Credit Card,Yes
10390,50,Male,118.42,49,DSL,Two Year,6,E-Wallet,No
10391,69,Male,27.23,1,Cable,Two Year,1,E-Wallet,No
10392,38,Female,20.89,53,Cable,One Year,5,Bank Transfer,No
10393,49,Female,47.62,40,Fiber,Month-to-Month,10,Cash,No
10394,40,Female,106.26,45,DSL,One Year,4,Credit Card,No
10395,50,Female,73.46,68,Fiber,Month-to-Month,0,E-Wallet,Yes
10396,20,Female,72.31,9,DSL,Month-to-Month,1,Cash,Yes
